TEXT: 可能上傳畫質較差,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0337
TEXT: 遇到很倒楣,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.318
TEXT: 這種垃圾貨車駕駛山路上一堆,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0193
TEXT: 跨越雙黃線跟逆向，2項違規，記得分開檢舉喔,    PREDICT: POSITIVE, POSITIVE_PROBS:0.6459
TEXT: 檢舉他吧 這根本智障,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0046
TEXT: 我覺得他在點菸．,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5197
TEXT: 1000%成功 跨越雙黃線逆向,    PREDICT: POSITIVE, POSITIVE_PROBS:0.8869
TEXT: 還好沒事,檢舉吧= =,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0991
TEXT: 容易暈車跟小腦不發達有什麼關係,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0887
TEXT: 垃圾駕駛開垃圾車，看起來也沒錢賠,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0136
TEXT: 遇到這種絕對要檢舉！,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3377
TEXT: 歐乾，這個有硬，再快一點就要拜拜了,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0459
TEXT: 這種我遇過，他不是要吃對向他是在忙其它事,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.4766
TEXT: 這根本恍神中吧...,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1264
TEXT: 這開法也太有事了吧,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1344
TEXT: 垃圾一個,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0607
TEXT: 垃圾,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0163
TEXT: 檢舉起來,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7899
TEXT: 太扯了吧...檢舉他,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0404
TEXT: 檢舉！,    PREDICT: POSITIVE, POSITIVE_PROBS:0.592
TEXT: 貨車後面那台是不是S8?,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0716
TEXT: 什麼製杖貨車,    PREDICT: POSITIVE, POSITIVE_PROBS:0.5796
TEXT: 開山路拜託請開大燈，謝謝！,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9017
TEXT: 就跨雙黃線逆向,影片上的時間也是對的,去檢舉一定能成功,    PREDICT: POSITIVE, POSITIVE_PROBS:0.9318
TEXT: 請快檢舉這個禍害,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2914
TEXT: 看起來就是開車不專心,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.3185
TEXT: 後面載的貨繳罰單後還會剩不少，就別客氣了。,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.2014
TEXT: 這種有拍到車牌都能過不要連續舉發，製造行政資源浪費而已,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0504
TEXT: 國庫有錢入帳,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1837
TEXT: 對方恍神了吧，不然就是用手機...,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.231
TEXT: 好扯，這個絕對要檢舉,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.1384
TEXT: 山路小齒輪 XD,    PREDICT: POSITIVE, POSITIVE_PROBS:0.7343
TEXT: 乾，我上次去梅山那個橋，也是這山路遇到盲彎逆向超車的發財車，超垃圾,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0148
TEXT: 這開法太誇張，八成在恍神，樓主檢舉了沒,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0217
TEXT: 吃對向還不看前面…媽的垃圾……,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0125
TEXT: 這睡著了吧！,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0819
TEXT: 看不懂它在開什麼,    PREDICT: NEGATIVE, POSITIVE_PROBS:0.0808
